input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,tech_,lines,cdn,tls_self_signed
api.ti.bitdefender.com,401 Authorization Required,,574,api.ti.bitdefender.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-05T06:42:25Z,CN=ti.bitdefender.com,ti.bitdefender.com,,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ctls,api.ti.bitdefender.com,443,https://api.ti.bitdefender.com:443,https,nginx,text/html,GET,81.161.59.222,Nginx,14,,
applecsrwebservice.bitdefender.com,,,58,,,,,,,,,,,,,,80,http://applecsrwebservice.bitdefender.com:80,http,cloudflare,text/html,GET,104.18.168.222,PHP:7.4.33,1,True,
arca.bitdefender.com,ARCA,,1853,arca.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,arca.bitdefender.com,443,https://arca.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,HSTS,28,True,
att-nca-ga-push.bitdefender.net,,,29,att-nca-ga-push.bitdefender.net,443,tls13,TLS_AES_128_GCM_SHA256,2022-07-25T00:00:00Z,"CN=att-nca-ga-push.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",att-nca-ga-push.bitdefender.net,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,att-nca-ga-push.bitdefender.net,443,https://att-nca-ga-push.bitdefender.net:443,https,,application/json,GET,184.169.221.12,,1,,
att-nca-push.bitdefender.net,,,29,att-nca-push.bitdefender.net,443,tls13,TLS_AES_128_GCM_SHA256,2022-05-31T00:00:00Z,CN=att-nca-push.bitdefender.net,att-nca-push.bitdefender.net,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,att-nca-push.bitdefender.net,443,https://att-nca-push.bitdefender.net:443,https,,application/json,GET,52.9.231.19,,1,,
att-nvi.nimbus.bitdefender.net,,,11,att-nvi.nimbus.bitdefender.net,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-22T00:00:00Z,"CN=att-nvi.nimbus.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",att-nvi.nimbus.bitdefender.net,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,att-nvi.nimbus.bitdefender.net,443,https://att-nvi.nimbus.bitdefender.net:443,https,nimbus,text/plain,GET,44.197.95.181,,1,,
atts-nvi-push.bitdefender.net,,,36,atts-nvi-push.bitdefender.net,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-18T00:00:00Z,CN=atts-nvi-push.bitdefender.net,atts-nvi-push.bitdefender.net,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,atts-nvi-push.bitdefender.net,443,https://atts-nvi-push.bitdefender.net:443,https,envoy,application/json,GET,52.70.199.254,Envoy,1,,
auth.mdr.bitdefender.com,MDR,,20199,mdr.bitdefender.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-24T00:00:00Z,CN=mdr.bitdefender.com,mdr.bitdefender.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,mdr.bitdefender.com,443,https://auth.mdr.bitdefender.com:443,https,nginx/1.18.0,text/html,GET,104.17.235.88,Nginx:1.18.0,109,True,
auth.mdrt.bitdefender.com,MDR,,20502,mdrt.bitdefender.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-17T00:00:00Z,CN=mdrt.bitdefender.com,mdrt.bitdefender.com,,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,ctls,mdrt.bitdefender.com,443,https://auth.mdrt.bitdefender.com:443,https,nginx/1.18.0,text/html,GET,104.17.171.55,Nginx:1.18.0,106,True,
authorization-service.rmm.bitdefender.com,,,,authorization-service.rmm.bitdefender.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-05T00:00:00Z,CN=authorization-service.rmm.bitdefender.com,authorization-service.rmm.bitdefender.com,,"CN=GeoTrust Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",GeoTrust Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,authorization-service.rmm.bitdefender.com,443,https://authorization-service.rmm.bitdefender.com:443,https,Microsoft-IIS/10.0,,GET,20.105.232.12,Windows Server,1,,
belt.orion.bitdefender.com,,,19,belt.orion.bitdefender.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-19T00:00:00Z,CN=belt.orion.bitdefender.com,belt.orion.bitdefender.com,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,belt.orion.bitdefender.com,443,https://belt.orion.bitdefender.com:443,https,nginx/1.23.2,,GET,35.198.78.74,Nginx:1.23.2,1,True,
beta-account.bitdefender.com,Bitdefender Account,,4228,beta-account.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,beta-account.bitdefender.com,443,https://beta-account.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.169.222,HSTS,78,True,
beta-central.bitdefender.com,Bitdefender Central,,3374,beta-central.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,beta-central.bitdefender.com,443,https://beta-central.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,PayPal,26,True,
beta-dns.bitdefender.net,,,1,beta-dns.bitdefender.net,443,tls13,TLS_AES_128_GCM_SHA256,2022-07-28T00:00:00Z,CN=beta-dns.bitdefender.net,beta-dns.bitdefender.net,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,beta-dns.bitdefender.net,443,https://beta-dns.bitdefender.net:443,https,,text/plain,GET,81.161.59.118,HSTS,2,,
beta-msp.bitdefender.com,MSP Bitdefender,,938,beta-msp.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,beta-msp.bitdefender.com,443,https://beta-msp.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,HSTS,2,True,
beta.bitdefender.com,Attention Required! | Cloudflare,,4516,www.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.bitdefender.com,443,https://beta.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,Cloudflare,94,True,
beta.mdm-ios.bitdefender.net,,,,beta.mdm-ios.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2022-11-04T00:00:00Z,"CN=beta.mdm-ios.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",beta.mdm-ios.bitdefender.net,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,beta.mdm-ios.bitdefender.net,443,https://beta.mdm-ios.bitdefender.net:443,https,nginx,,GET,81.161.59.75,Nginx,1,,
beta.nimbus.bitdefender.net,,,11,beta.nimbus.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-01-09T00:00:00Z,CN=beta.nimbus.bitdefender.net,beta.nimbus.bitdefender.net,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,beta.nimbus.bitdefender.net,443,https://beta.nimbus.bitdefender.net:443,https,nginx,text/plain,GET,81.161.59.46,Nginx,1,,
beta.push.bitdefender.net,,,29,beta.push.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2023-02-09T00:00:00Z,CN=beta.push.bitdefender.net,beta.push.bitdefender.net,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,beta.push.bitdefender.net,443,https://beta.push.bitdefender.net:443,https,nginx,application/json,GET,81.161.59.47,Nginx,1,,
bitadvisors.bitdefender.com,Bitdefender Community,,36828,bitadvisors.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,bitadvisors.bitdefender.com,443,https://bitadvisors.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,Java,904,True,
bitdefender.com,Bitdefender - Global Leader in Cybersecurity Software,,132470,www.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.bitdefender.com,443,https://bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,Java,3272,True,
bitdefender.net,Bitdefender - Global Leader in Cybersecurity Software,,132470,www.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.bitdefender.com,443,https://bitdefender.net:443,https,cloudflare,text/html,GET,104.17.108.108,Java,3272,True,
bluecoat-fe328ba7-3324-4ff1-ae6e-5f597c9d053e.2d7dd.cdn.bitdefender.net,404 - Not Found,,345,bluecoat-fe328ba7-3324-4ff1-ae6e-5f597c9d053e.2d7dd.cdn.bitdefender.net,443,tls13,TLS_AES_256_GCM_SHA384,2022-06-14T00:00:00Z,"CN=*.2d7dd.cdn.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.2d7dd.cdn.bitdefender.net,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,bluecoat-fe328ba7-3324-4ff1-ae6e-5f597c9d053e.2d7dd.cdn.bitdefender.net,443,https://bluecoat-fe328ba7-3324-4ff1-ae6e-5f597c9d053e.2d7dd.cdn.bitdefender.net:443,https,ECAcc (frb/6691),text/html,GET,152.195.133.11,Azure CDN,12,,
brand.bitdefender.com,Bitdefender,,13115,brand.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-04-05T00:00:00Z,CN=brand.bitdefender.com,brand.bitdefender.com,,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ctls,brand.bitdefender.com,443,https://brand.bitdefender.com:443,https,CloudFront,text/html,GET,18.66.147.120,HTTP/3,262,True,
businessemail.bitdefender.com,Bitdefender Business and Enterprise Cybersecurity Solutions,,245667,www.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.bitdefender.com,443,https://businessemail.bitdefender.com:443,https,cloudflare,text/html,GET,199.60.103.2,Java,8535,,
businessresources.bitdefender.com,Cybersecurity Resource Library - Bitdefender Enterprise,,160335,www.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,www.bitdefender.com,443,https://businessresources.bitdefender.com:443,https,cloudflare,text/html,GET,199.60.103.2,Java,7086,,
buy.bitdefender.com,,,212,buy.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,"CN=buy.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",buy.bitdefender.com,Bitdefender SRL,"CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert Global G2 TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,buy.bitdefender.com,443,https://buy.bitdefender.com:443,https,,text/html,GET,45.60.14.94,Imperva,8,True,
catch-nimbus.bitdefender.net,403 Forbidden,,548,catch-nimbus.bitdefender.net,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.net, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.net,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,catch-nimbus.bitdefender.net,443,https://catch-nimbus.bitdefender.net:443,https,cloudflare,text/html,GET,104.17.107.108,Google Cloud CDN,14,True,
central-appdirect.bitdefender.com,Origin DNS error | central-appdirect.bitdefender.com | Cloudflare,,6249,central-appdirect.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,central-appdirect.bitdefender.com,443,https://central-appdirect.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.169.222,Cloudflare,93,True,
central.bitdefender.com,Bitdefender Central,,3374,central.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-09-28T00:00:00Z,CN=central.bitdefender.com,central.bitdefender.com,,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,ctls,central.bitdefender.com,443,https://central.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,PayPal,26,True,
checkout-sdk.bitdefender.com,403 Forbidden,,153,checkout-sdk.bitdefender.com,443,tls13,TLS_AES_128_GCM_SHA256,2022-10-10T00:00:00Z,"CN=*.bitdefender.com, O=Bitdefender SRL, L=Bucharest, C=RO",*.bitdefender.com,Bitdefender SRL,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,checkout-sdk.bitdefender.com,443,https://checkout-sdk.bitdefender.com:443,https,cloudflare,text/html,GET,104.18.168.222,Google Cloud CDN,8,True,
ci.secure.appleid.com.oem-central-stage.bitdefender.com,,,21,ci.secure.appleid.com.oem-central-stage.bitdefender.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-05-06T18:20:08Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,ci.secure.appleid.com.oem-central-stage.bitdefender.com,443,https://ci.secure.appleid.com.oem-central-stage.bitdefender.com:443,https,,text/plain,GET,81.161.59.221,HSTS,1,,True
